,id,name,space,host_name,host_since,host_acceptance_rate,host_identity_verified,street,zipcode,latitude,longitude,review_scores_rating,room_type,accommodates,price
0,38585,Charming Victorian home - twin beds + breakfast,"Charming room with 2 twin size beds, furnished with beautiful Victorian antiques on the 2nd floor with view of a lush forest and seasonally  (no foliage) the Blue Ridge Mountains ... and the sunrise if you are an early bird ! The beds are firm and best for those who like their spine supported and aligned. There is space in the closet with hangers, a dresser and a nightstand to store your clothes and belongings. Your private bathroom with tub/shower combo is adjacent to your room . We have central air conditioning and heating (HVAC). The house is solar powered. It exudes old fashioned charm, warmth and coziness even though it's a new and modern structure. It contains an eclectic mixture of art, crafts and mementos gathered over the years when I traveled all over the world as a translator for the United Nations. This is a house EXCLUSIVELY for non-smokers. Large back deck for relaxing, overlooking woods and gardens. Classic rocking chair front porch. Breezy screened sun room perfect for ",Evelyne,2010-07-13,94%,f,"Asheville, NC, United States",28804.0,35.65146,-82.62791999999999,96.0,Private room,2,$50.00
1,80905,French Chic Loft,"Have you ever gazed at dreamy photos in a magazine or on (Hidden by Airbnb) and wanted to slip right into them? Let yourself melt into the delectable décor of the French Industrial Chic Loft. She will take you in and warm your spirit, offering a languid journey for the aesthetic senses. Nostalgia and inspiration come together in this coveted loft likened unto one of Soho, NYC.  It is a completely private, very spacious loft with a fully equipped kitchen.  One bedroom on main level, second bedroom area downstairs with private entry on Chicken Alley. Check my other listings. I have other properties on the same street, and can accommodate large parties.  Need event space? I've got that too!  Cleaning fee included in the rate. Cleaned with all natural, environmentally friendly products. Parking lots nearby for additional vehicles $3-5/day. LGBTQ and straight friendly.",Celeste,2011-03-07,98%,f,"Asheville, NC, United States",28801.0,35.59779,-82.5554,96.0,Entire home/apt,12,$765.00
2,108061,Walk to stores/parks/downtown. Fenced yard/Pets OK,"True Asheville...artist styled apartment with a pet friendly fenced back yard and great neighbors all around. Stay here and easily walk downtown or through the wooded trails and botanical gardens at UNCA. Super convenient neighborhood to walk, bike, run or just stroll around and meet people....very local and friendly! Whole Foods, Trader Joe’s and lots of nearby coffee shops, restaurants and Asheville Yoga Center all within a four block radius.  Your sunny downstairs space faces a large fenced backyard and is quiet, private and safe. Everything you need to settle in and enjoy your life in Asheville is provided...laundry machines, wifi, dishwasher, convection oven, hot plate and all household supplies. The house stays comfortable in the summer or winter and there are fans in every room as well as a heating and AC system. Nice, new queen size bed in the bedroom, walk in closet and plenty of dresser space. One very large bathroom with double vanity sinks, a separate toilet room and large ",Lisa,2010-12-16,67%,t,"Asheville, NC, United States",28801.0,35.6067,-82.55563000000001,90.0,Entire home/apt,2,$75.00
3,155305,Cottage! BonPaul + Sharky's Hostel,"Private cottage located behind the main house at the Hostel in Historic West Asheville.   Self check-in starts at 3pm. Cottage has full size bed, private kitchen and bathroom. Please note also, the shower is not huge. It will fit one person just fine.  Guests get full access to the hostel: book exchange, community computer, common areas with cool international travelers and all the cool restaurants, pubs and cafe's that West Asheville has within walking distance!",BonPaul,2011-06-26,99%,f,"Asheville, NC, United States",28806.0,35.57864,-82.59578,90.0,Entire home/apt,2,$107.00
4,156805,"Private Room ""Ader"" at BPS Hostel","Private Rooms at Bon Paul and Sharky's Hostel.  Each Private room has a full size bed that sleeps two adults.  Self check-in starts at 3pm.   Guests have access to all hostel amenities: full kitchen and bathrooms, wifi and internet, common area and book exchange, and cool international travelers.   We are located in Historic West Asheville, walking distance to amazing restaurants, cafes and pubs, grocery, and Asheville's River Art's District.   Two private bathrooms are shared throughout the hostel.   We are a traveler's hostel and therefore CANNOT BOOK TO LOCALS.",BonPaul,2011-06-26,99%,f,"Asheville, NC, United States",28806.0,35.57864,-82.59578,90.0,Private room,2,$71.00
5,156926,"Mixed Dorm ""Top Bunk #1"" at BPS Hostel","Self check-in starts at 3pm. Instructions will be sent after booking.  Dorm bunks at Bon Paul and Sharky's Hostel. We have a co-ed dorm, as well as female only dorm.  We have some off street parking behind the hostel and are located in a very safe neighborhood with plenty of free on-street parking.  Our front porch is awesome, with a porch swing.  Asheville public transit bus stop one block away.   Each room has 6 bunks and plenty of windows. Guests have access to all hostel amenities: full kitchen and bathrooms, wifi and internet, common area, book exchange, and cool international travelers. We are located in Historic West Asheville, walking distance to amazing restaurants, cafe's and pubs, grocery, and Asheville's River Art's District. Three private bathrooms are shared throughout the hostel. We are a traveler's hostel and therefore CANNOT BOOK TO AREA LOCALS. The bunk price is listed per bunk. For multiple people please be sure to adjust number of guest for correct price.",BonPaul,2011-06-26,99%,f,"Asheville, NC, United States",28806.0,35.57864,-82.59578,94.0,Shared room,1,$26.00
6,160594,Historic Grove Park,"Come enjoy our 1920's home in the historic Grove Park neighborhood.  A queen-sized bed and full bath are ready for you.  Enjoy a home cooked breakfast on our pretty patio! Take a 10 minute walk to downtown Asheville from our safe and quiet neighborhood or a 5 minute walk to the Spa and the golf course at the Grove Park Inn. Quick access from I-240 and easy parking. A short distance to great restaurants, coffee shops, bars, handmade ice cream and grocery stores.  Great local pizza and beer with $3 movies nearby. Visit Beer City USA's numerous micro-breweries.  Wi-Fi access.  Please contact host before booking.  Thanks!",Elizabeth,2011-07-02,,t,"Asheville, NC, United States",28801.0,35.61442,-82.54127,99.0,Private room,2,$125.00
7,209068,Terrace Cottage,"Experience a classic, private, Arts & Crafts-style guesthouse in our beautiful historic district close to the center of Asheville. All linens and other amenities including HDTV are provided so just bring your groceries- and your laptop for the fast WI-FI. The cottage is very private and comfortable, situated in a quiet location in our safe and friendly neighborhood. Nice walk to downtown along tree-lined streets with great markets and restaurants along the way. Walk to the university, botanical gardens, parks and greenways.  Enjoy a real cook's kitchen, tiled bathroom, sunny deck, closet storage, and locking storage for bikes and strollers. In addition to the queen bed and full-size sofabed, there is a Simmonsd Beautyrest inflatable bed stored in the closet.  Original owners on the property are knowledgeable about area entertainment and recreation opportunities. A quick twenty minutes drive from our airport with shuttle service available, and the bus line is one block distance running ",Kevin,2011-08-28,100%,t,"Asheville, NC, United States",28804.0,35.618559999999995,-82.55275999999999,97.0,Entire home/apt,4,$134.00
8,213006,Blue Gate West,"Hello, Welcome to Asheville, also known as the Paris of the South.  My name is Susanne.  My home is located in W. Asheville in a quiet neighborhood.  There is one bedroom having a comfy single bed with a private adjoining bathroom plus an adjoining bedroom with a queen size bed.  There is wifi,  back terrace and yard to enjoy for reading or having a cup of coffee or a light breakfast outside plus an enclosed yard to let your dog out for business.    I am also within walking distance to downtown West Asheville where you will find great coffee shops, restaurants and only 7 minutes to downtown Asheville, plus a short distance to the parkway and hiking trails.  This space has 1 bedroom suitable for the solo traveler or two bedrooms for 2  guests.   The pet fee is $25 and must be paid upon arrival. If you wish to have a light breakfast, I can provide fruit/toasted bread/jam, let me know the night before and I can bring it to your room or in the kitchen between 8:30 and 9:00 am. Since I live",Susanne,2011-09-01,94%,f,"Asheville, NC, United States",28806.0,35.58345,-82.59713,97.0,Private room,1,$46.00
9,246315,Asheville Dreamer's Cabin,"This beautiful historic log cabin combines the serenity of the Great Smokey Mountains with the flair and soul of it's native New Orleanian owner. Ideally located to provide both privacy and convenience to all Asheville has to offer. Approximately five minutes to enchanting downtown Asheville, the Blue Ridge Pkwy., great hiking, waterfalls, the Folk Art Center, golfing, the Nature Center, the Biltmore estate and more.  Located in a quiet, safe area of  East Asheville, all appliances and fully equipped kitchen, 1 TV, off street parking, cable and wifi , linens and towels. Just show up and relax !!",Annie,2011-10-14,80%,f,"Asheville, NC, United States",28805.0,35.59635,-82.50655,93.0,Private room,2,$65.00
